#Benchmark	runtime	CPU Frequency(MHz)
automotive_qsort1	61.4919044600	800000
automotive_susan_c	79.9810133270	800000
automotive_susan_e	63.6441105540	800000
automotive_susan_s	58.9930112050	800000
bzip2d	67.2942749950	800000
bzip2e	68.2582571540	800000
consumer_jpeg_c	64.9045208640	800000
consumer_jpeg_d	147.3861864840	800000
consumer_tiff2bw	85.2285725130	800000
consumer_tiff2rgba	150.4183151800	800000
consumer_tiffdither	69.9886522170	800000
consumer_tiffmedian	74.4111707160	800000
network_dijkstra	16.2065119900	800000
network_patricia	45.9313217760	800000
office_ghostscript	85.5261588700	800000
office_ispell	101.8122082200	800000
office_rsynth	32.8175396760	800000
office_stringsearch1	26.9884193690	800000
security_blowfish_d	48.3054309850	800000
security_blowfish_e	48.7729101600	800000
security_pgp_d	344.7943417560	800000
security_pgp_e	74.0411887750	800000
security_rijndael_d	370.5770242720	800000
security_rijndael_e	381.3720500370	800000
security_sha	92.1667106870	800000
telecom_adpcm_c	33.8580510330	800000
telecom_adpcm_d	51.7565651340	800000
telecom_CRC32	157.5205322680	800000
telecom_gsm	55.9205354350	800000
automotive_bitcount	46.3597501250	800000
automotive_qsort1	61.5022502700	800000
automotive_susan_c	79.9639462000	800000
automotive_susan_e	63.3888708480	800000
automotive_susan_s	58.7439920280	800000
bzip2d	66.9290050430	800000
bzip2e	68.2113184700	800000
consumer_jpeg_c	62.4563851590	800000
consumer_jpeg_d	145.9667449970	800000
consumer_tiff2bw	83.9639155460	800000
consumer_tiff2rgba	148.5436369070	800000
consumer_tiffdither	70.4365863960	800000
consumer_tiffmedian	74.1488342770	800000
network_dijkstra	15.7579956880	800000
network_patricia	45.2412472790	800000
office_ghostscript	85.1569784690	800000
office_ispell	102.3552936380	800000
office_rsynth	32.4086474070	800000
office_stringsearch1	27.3276895050	800000
security_blowfish_d	47.9673978460	800000
security_blowfish_e	48.7670471310	800000
security_pgp_d	347.6879042290	800000
security_pgp_e	74.0291983440	800000
security_rijndael_d	376.2496558140	800000
security_rijndael_e	385.9428096540	800000
security_sha	91.6810565120	800000
telecom_adpcm_c	34.2245925660	800000
telecom_adpcm_d	51.7356415570	800000
telecom_CRC32	156.9290252530	800000
telecom_gsm	55.8758295390	800000
automotive_bitcount	46.7323425180	800000
automotive_qsort1	62.0467934760	800000
automotive_susan_c	80.4377171110	800000
automotive_susan_e	64.4875115720	800000
automotive_susan_s	59.3401310320	800000
bzip2d	68.5501773160	800000
bzip2e	67.6187483740	800000
consumer_jpeg_c	65.0976167120	800000
consumer_jpeg_d	152.5951378410	800000
consumer_tiff2bw	83.6890432190	800000
consumer_tiff2rgba	148.1849996480	800000
consumer_tiffdither	70.4880310270	800000
consumer_tiffmedian	74.2440317250	800000
network_dijkstra	15.7504632050	800000
network_patricia	45.0973193600	800000
office_ghostscript	85.2346932490	800000
office_ispell	101.0304497670	800000
office_rsynth	32.4411267080	800000
office_stringsearch1	27.3331385350	800000
security_blowfish_d	47.9949098650	800000
security_blowfish_e	48.7724647860	800000
security_pgp_d	347.2460430360	800000
security_pgp_e	73.9407417560	800000
security_rijndael_d	374.7517098000	800000
security_rijndael_e	379.4540777380	800000
security_sha	91.6245610580	800000
telecom_adpcm_c	34.2774265280	800000
telecom_adpcm_d	51.7194635940	800000
telecom_CRC32	156.9555628590	800000
telecom_gsm	55.9093886280	800000
automotive_bitcount	53.8831504940	700000
automotive_qsort1	70.5744905780	700000
automotive_susan_c	88.8849791900	700000
automotive_susan_e	71.6052140420	700000
automotive_susan_s	67.7847152010	700000
bzip2d	72.7577819760	700000
bzip2e	73.5645303300	700000
consumer_jpeg_c	71.2868569410	700000
consumer_jpeg_d	160.2011154800	700000
consumer_tiff2bw	93.7186946190	700000
consumer_tiff2rgba	161.8037439210	700000
consumer_tiffdither	79.3253618770	700000
consumer_tiffmedian	82.5822347220	700000
network_dijkstra	17.8781539380	700000
network_patricia	51.5611661240	700000
office_ghostscript	97.8044278080	700000
office_ispell	112.8170410440	700000
office_rsynth	37.8164306410	700000
office_stringsearch1	31.1395135340	700000
security_blowfish_d	55.7151799070	700000
security_blowfish_e	56.3189727700	700000
security_pgp_d	377.8041119910	700000
security_pgp_e	84.5319999470	700000
security_rijndael_d	410.1297051300	700000
security_rijndael_e	423.2991304780	700000
security_sha	105.2148229800	700000
telecom_adpcm_c	39.4628057730	700000
telecom_adpcm_d	59.6249235030	700000
telecom_CRC32	176.1332350180	700000
telecom_gsm	64.4902768580	700000
automotive_bitcount	53.4842440370	700000
automotive_qsort1	70.0713049430	700000
automotive_susan_c	89.1804860940	700000
automotive_susan_e	71.5893479950	700000
automotive_susan_s	67.7878811520	700000
bzip2d	72.3508096610	700000
bzip2e	73.3373800180	700000
consumer_jpeg_c	70.7702373780	700000
consumer_jpeg_d	159.3421858300	700000
consumer_tiff2bw	93.7989597670	700000
consumer_tiff2rgba	160.0443827570	700000
consumer_tiffdither	79.4448301850	700000
consumer_tiffmedian	82.6628892030	700000
network_dijkstra	18.4416223940	700000
network_patricia	51.8510879170	700000
office_ghostscript	97.3410430410	700000
office_ispell	112.6041691580	700000
office_rsynth	37.4471749070	700000
office_stringsearch1	31.4956640480	700000
security_blowfish_d	55.7433852180	700000
security_blowfish_e	56.3017065170	700000
security_pgp_d	380.5171031700	700000
security_pgp_e	83.8952452030	700000
security_rijndael_d	412.8750763600	700000
security_rijndael_e	424.3212801280	700000
security_sha	105.5117950050	700000
telecom_adpcm_c	39.4810373140	700000
telecom_adpcm_d	59.7004773700	700000
telecom_CRC32	175.5488554860	700000
telecom_gsm	64.5656523100	700000
automotive_bitcount	53.5116347650	700000
automotive_qsort1	70.0363899410	700000
automotive_susan_c	89.2938258750	700000
automotive_susan_e	71.6125135670	700000
automotive_susan_s	67.7538455640	700000
bzip2d	72.3856458730	700000
bzip2e	73.0334790500	700000
consumer_jpeg_c	70.8465316200	700000
consumer_jpeg_d	160.0539329020	700000
consumer_tiff2bw	92.5755057060	700000
consumer_tiff2rgba	158.6066972300	700000
consumer_tiffdither	80.5690958920	700000
consumer_tiffmedian	82.6632468280	700000
network_dijkstra	18.2461050510	700000
network_patricia	51.8961433130	700000
office_ghostscript	97.8188697330	700000
office_ispell	113.9086922000	700000
office_rsynth	37.4405692560	700000
office_stringsearch1	31.5169791660	700000
security_blowfish_d	55.7910219840	700000
security_blowfish_e	56.3005651030	700000
security_pgp_d	376.8514729300	700000
security_pgp_e	84.0478935190	700000
security_rijndael_d	410.4519971810	700000
